name,head_type,mode,hidden_dim,total_params,head_params,learning_rate,seed,test_loss,test_accuracy,best_val_loss,best_val_accuracy,best_epoch,epochs_trained,convergence_epoch_95,avg_time_per_epoch,total_training_time,per_class_accuracy,train_loss_history,val_loss_history,val_accuracy_history
KAN_ModeB,kan,B,28,1699056,146160,0.002,42,0.4912130887031555,0.8657000064849854,0.43445728168487546,0.8697999715805054,27,37,14,19.57803248070382,724.3872017860413,"{""airplane"": 0.8710000514984131, ""automobile"": 0.9470000267028809, ""bird"": 0.8180000185966492, ""cat"": 0.6940000057220459, ""deer"": 0.8860000371932983, ""dog"": 0.8170000314712524, ""frog"": 0.8790000677108765, ""horse"": 0.8960000276565552, ""ship"": 0.9330000281333923, ""truck"": 0.9160000681877136}","[1.405994714155496, 1.007996377951739, 0.838076478056079, 0.7391698197421864, 0.664876568436283, 0.6028532577715708, 0.557643521290559, 0.5267684412987483, 0.48425351180921594, 0.4474716075719931, 0.4236723607846475, 0.3996465444734633, 0.3730886968282553, 0.35294229951169753, 0.32698116958820583, 0.30608412245569744, 0.28642902954181715, 0.2678245472220274, 0.2447415155775187, 0.2324018940074831, 0.2198374777650222, 0.20180900320622996, 0.19372832263551887, 0.1750513368267619, 0.1616110785564466, 0.14867334047656114, 0.13683959579047483, 0.1283430599440367, 0.11668520103450175, 0.11044714811584379, 0.09781889329290289, 0.08738234941117953, 0.08482094895508555, 0.07928397478880705, 0.07158236625336344, 0.06360162177953625, 0.05880007621940979]","[1.5277948816299438, 1.0848954771518706, 0.921269263792038, 0.8802069368362426, 0.7161229351043701, 0.7107485864639282, 0.7730464485168457, 0.6360820322990417, 0.607410928106308, 0.5592108944416047, 0.5603942812919617, 0.5438843342542649, 0.5252029136419296, 0.47010913734436033, 0.46801247962713244, 0.4542235680580139, 0.46715173556804657, 0.47453790740966795, 0.5105025008201599, 0.4976638096809387, 0.449259420889616, 0.45032276039123537, 0.46182774325609205, 0.5055063183784485, 0.4464810133457184, 0.4685485067605972, 0.43445728168487546, 0.4462750989675522, 0.4500536805987358, 0.4902747000217438, 0.473922903585434, 0.4651792706489563, 0.4597008533477783, 0.48473713204860686, 0.4932679457902908, 0.4716101279258728, 0.482246856379509]","[0.5045999884605408, 0.6223999857902527, 0.6775999665260315, 0.7093999981880188, 0.7479999661445618, 0.7577999830245972, 0.7461999654769897, 0.7807999849319458, 0.7924000024795532, 0.8118000030517578, 0.8065999746322632, 0.8185999989509583, 0.824999988079071, 0.839199960231781, 0.8431999683380127, 0.8519999980926514, 0.8477999567985535, 0.8489999771118164, 0.8425999879837036, 0.8452000021934509, 0.8551999926567078, 0.8569999933242798, 0.8592000007629395, 0.8583999872207642, 0.8691999912261963, 0.865399956703186, 0.8697999715805054, 0.868399977684021, 0.8711999654769897, 0.8646000027656555, 0.8697999715805054, 0.8765999674797058, 0.8737999796867371, 0.8745999932289124, 0.873199999332428, 0.878600001335144, 0.8779999613761902]"
KAN_ModeB,kan,B,28,1699056,146160,0.002,123,0.4722840435028076,0.8479999899864197,0.4596010688781738,0.8521999716758728,18,28,15,20.43035454409463,572.0499272346497,"{""airplane"": 0.8740000128746033, ""automobile"": 0.9440000653266907, ""bird"": 0.8490000367164612, ""cat"": 0.6460000276565552, ""deer"": 0.8470000624656677, ""dog"": 0.8260000348091125, ""frog"": 0.8830000162124634, ""horse"": 0.8010000586509705, ""ship"": 0.9140000343322754, ""truck"": 0.8960000276565552}","[1.3737536436132556, 1.0011824532451792, 0.8361143378111032, 0.7391880506973321, 0.661719111126033, 0.6035501149475065, 0.5570191868350037, 0.511799733608197, 0.48023068760534976, 0.45027409515149913, 0.41442257199871574, 0.39499284428918463, 0.361305057917565, 0.34161812708078965, 0.32019489863489425, 0.29712456197310716, 0.2786964806820932, 0.26128879996106835, 0.24249119757332355, 0.22719924640112113, 0.21252686014542213, 0.19590467454446348, 0.18192471398247612, 0.16627510191283673, 0.15684585678696292, 0.1418565645431861, 0.13013236533500191, 0.1248008560845655]","[1.2868240530967712, 1.1233285652160645, 0.9138712316513061, 0.830128280878067, 0.803092019033432, 0.7612054057121277, 0.7030126216173171, 0.5744170586109162, 0.5866760223388672, 0.6174302992820739, 0.5757691739082337, 0.5503146288871765, 0.5813837054252624, 0.56742356300354, 0.5043380507469177, 0.49494178466796873, 0.5504945656776429, 0.4596010688781738, 0.5006667553424835, 0.467704625415802, 0.4915181854248047, 0.4762367470264435, 0.5095031522750855, 0.488773100566864, 0.4906472050666809, 0.4727306755065918, 0.4928523956298828, 0.4800400545120239]","[0.5507999658584595, 0.6189999580383301, 0.6863999962806702, 0.7197999954223633, 0.7375999689102173, 0.7423999905586243, 0.7665999531745911, 0.8104000091552734, 0.8064000010490417, 0.7925999760627747, 0.8017999529838562, 0.8199999928474426, 0.8107999563217163, 0.8179999589920044, 0.8315999507904053, 0.8398000001907349, 0.8241999745368958, 0.8521999716758728, 0.8452000021934509, 0.8557999730110168, 0.8511999845504761, 0.8613999485969543, 0.8571999669075012, 0.8621999621391296, 0.8565999865531921, 0.8661999702453613, 0.8682000041007996, 0.870199978351593]"
KAN_ModeB,kan,B,28,1699056,146160,0.002,456,0.4641733354449272,0.8570999503135681,0.45002787569761277,0.8579999804496765,20,30,16,20.45256872177124,613.5770616531372,"{""airplane"": 0.8400000333786011, ""automobile"": 0.9460000395774841, ""bird"": 0.8610000610351562, ""cat"": 0.7050000429153442, ""deer"": 0.8520000576972961, ""dog"": 0.8030000329017639, ""frog"": 0.8470000624656677, ""horse"": 0.8480000495910645, ""ship"": 0.9430000185966492, ""truck"": 0.9260000586509705}","[1.3933167365881114, 1.001633824955704, 0.8351925832253916, 0.7340011678190312, 0.6592658279288528, 0.6017440128700007, 0.551723168871002, 0.5076460016419065, 0.4753726877038635, 0.45130118405037795, 0.4152187562396384, 0.3864858591148996, 0.36374955146740645, 0.34067244432930255, 0.31126918013279253, 0.2984383379631912, 0.28146282708712794, 0.260659060608118, 0.2386653078162772, 0.22324289012159038, 0.20532463569501866, 0.19530098256986705, 0.17788430850984704, 0.17116323871235561, 0.1527027865272132, 0.14057600253030786, 0.1348623175736506, 0.12125227600336075, 0.1122047096342273, 0.1035164960758214]","[1.2180518535614013, 0.935471753501892, 0.9733270686149598, 0.7410996634483338, 0.7625288196563721, 0.6784808053016662, 0.7614792295455932, 0.6431981340408325, 0.6831137865066529, 0.6184216279029846, 0.59977779225111, 0.5274143466949462, 0.5230447524428368, 0.5375997158527375, 0.5361647343039513, 0.5113642094612122, 0.460548695898056, 0.4678818682432175, 0.4823440460085869, 0.45002787569761277, 0.49030849027633666, 0.4800953679591417, 0.4552422596216202, 0.47374717346429823, 0.4716321781992912, 0.49429348149746655, 0.4917221065580845, 0.46933119352459907, 0.4704549071192741, 0.4837785432815552]","[0.5685999989509583, 0.6647999882698059, 0.6785999536514282, 0.7382000088691711, 0.741599977016449, 0.7689999938011169, 0.7487999796867371, 0.7879999876022339, 0.7809999585151672, 0.796999990940094, 0.8009999990463257, 0.8237999677658081, 0.8291999697685242, 0.824999988079071, 0.8271999955177307, 0.842199981212616, 0.8575999736785889, 0.8497999906539917, 0.8517999649047852, 0.8579999804496765, 0.8543999791145325, 0.8567999601364136, 0.8615999817848206, 0.858199954032898, 0.8659999966621399, 0.8611999750137329, 0.8615999817848206, 0.8751999735832214, 0.8739999532699585, 0.8725999593734741]"
BSplineMLP_ModeB,bspline_mlp,B,256,1689610,136714,0.002,42,0.42003551959991453,0.8707999587059021,0.39075025713145733,0.8697999715805054,24,34,12,19.587028229937832,665.9589598178864,"{""airplane"": 0.8830000162124634, ""automobile"": 0.9520000219345093, ""bird"": 0.8400000333786011, ""cat"": 0.7580000162124634, ""deer"": 0.8730000257492065, ""dog"": 0.8010000586509705, ""frog"": 0.8950000405311584, ""horse"": 0.9020000696182251, ""ship"": 0.9310000538825989, ""truck"": 0.8730000257492065}","[1.4569135135055606, 1.0326656278042372, 0.8597937734038742, 0.7511714479522488, 0.6816334145361203, 0.6192157715134471, 0.576973184646025, 0.5309523903576397, 0.4933646699132403, 0.4643028637028148, 0.43863358499317767, 0.41255730916971495, 0.38005743466551145, 0.36546651844964745, 0.3455607970895251, 0.32612021212224607, 0.3025747673463957, 0.28802236180190005, 0.2637330825597133, 0.25231394611108, 0.23483505450252795, 0.2192624259708274, 0.20524287841513625, 0.1924444124994115, 0.17751565841995073, 0.1649186951333811, 0.15574397015096117, 0.1435980360286358, 0.13208111091132177, 0.12346982060164807, 0.11397881273105953, 0.1026866591172001, 0.0979647155946646, 0.08988703152647724]","[1.2723299872398377, 1.1375600313186645, 0.9750719211578369, 0.7661237505912781, 0.7180711472511292, 0.7350838447570801, 0.5824436087608338, 0.5874162107467651, 0.6107315196037293, 0.5624200418949127, 0.5150732492446899, 0.4403499817609787, 0.49430334610939025, 0.4435222989678383, 0.4830698262929916, 0.460385719537735, 0.4588269317626953, 0.4933142080307007, 0.4550370237827301, 0.4051916936159134, 0.395360086786747, 0.424714262676239, 0.42048482503890994, 0.39075025713145733, 0.43288082155659796, 0.414886911380291, 0.40137970999479294, 0.4212437203347683, 0.42941376892328265, 0.4161527885198593, 0.4046679839167744, 0.4153198916852474, 0.41578693750947715, 0.43528431057929995]","[0.546999990940094, 0.6007999777793884, 0.6585999727249146, 0.7283999919891357, 0.7459999918937683, 0.748199999332428, 0.7945999503135681, 0.7963999509811401, 0.7919999957084656, 0.8083999752998352, 0.8203999996185303, 0.8485999703407288, 0.8294000029563904, 0.8441999554634094, 0.8361999988555908, 0.8393999934196472, 0.843999981880188, 0.8353999853134155, 0.8517999649047852, 0.8578000068664551, 0.871399998664856, 0.8578000068664551, 0.8685999512672424, 0.8697999715805054, 0.8685999512672424, 0.8697999715805054, 0.871999979019165, 0.8691999912261963, 0.8741999864578247, 0.8751999735832214, 0.8777999877929688, 0.8815999627113342, 0.8805999755859375, 0.8859999775886536]"
BSplineMLP_ModeB,bspline_mlp,B,256,1689610,136714,0.002,123,0.4164345223903656,0.8633999824523926,0.422897032558918,0.8611999750137329,19,29,15,19.634353144415492,569.3962411880493,"{""airplane"": 0.8950000405311584, ""automobile"": 0.9480000734329224, ""bird"": 0.781000018119812, ""cat"": 0.7050000429153442, ""deer"": 0.8770000338554382, ""dog"": 0.8050000667572021, ""frog"": 0.9020000696182251, ""horse"": 0.8740000128746033, ""ship"": 0.921000063419342, ""truck"": 0.9260000586509705}","[1.4504708347157536, 1.0381551692288826, 0.8687574046629446, 0.757055891714884, 0.6830202674763834, 0.6259881730942305, 0.5742795516622712, 0.5288881726584204, 0.4967047650250275, 0.4580073439837181, 0.4323803679725723, 0.4016553461127132, 0.3784455038883068, 0.3570812239691063, 0.33803228978757505, 0.3195126442573009, 0.2968936602444391, 0.2810788268801833, 0.261966410525504, 0.24710614482561746, 0.2312480393170971, 0.2129107377255744, 0.20855801204415808, 0.18441975275930175, 0.1738123821248526, 0.16069157257081776, 0.1494869432303301, 0.1351046452240387, 0.13272329974930172]","[1.42458091506958, 1.1889675159454345, 0.9868929621696472, 0.7419951437473297, 0.7576221861839294, 0.7366904717445374, 0.6560100548744202, 0.6705343908309936, 0.613509787940979, 0.6322345571517944, 0.5410354393005371, 0.5223277022838593, 0.5157062351703644, 0.564396920967102, 0.47344406609535217, 0.5101321108818054, 0.4392423631668091, 0.4643097511768341, 0.422897032558918, 0.43169773689210417, 0.4564493008136749, 0.4559967405557632, 0.45576957421302794, 0.4347162505626678, 0.45724720155000687, 0.48874670581817625, 0.4412672785997391, 0.48110160160064697, 0.46418014314174655]","[0.49139997363090515, 0.5841999650001526, 0.6592000126838684, 0.7295999526977539, 0.7333999872207642, 0.7455999851226807, 0.771399974822998, 0.7680000066757202, 0.7881999611854553, 0.7859999537467957, 0.8199999928474426, 0.8265999555587769, 0.8241999745368958, 0.8125999569892883, 0.8353999853134155, 0.826200008392334, 0.8489999771118164, 0.8447999954223633, 0.8611999750137329, 0.8589999675750732, 0.8511999845504761, 0.8613999485969543, 0.8579999804496765, 0.8693999648094177, 0.8615999817848206, 0.8537999987602234, 0.8695999979972839, 0.8677999973297119, 0.8718000054359436]"
BSplineMLP_ModeB,bspline_mlp,B,256,1689610,136714,0.002,456,0.4144846118450165,0.8697999715805054,0.40368399052619935,0.8765999674797058,23,33,13,19.611428166880753,647.1771295070648,"{""airplane"": 0.8680000305175781, ""automobile"": 0.9550000429153442, ""bird"": 0.8060000538825989, ""cat"": 0.7550000548362732, ""deer"": 0.9010000228881836, ""dog"": 0.8020000457763672, ""frog"": 0.8790000677108765, ""horse"": 0.8940000534057617, ""ship"": 0.9310000538825989, ""truck"": 0.9070000648498535}","[1.4541538434150891, 1.03462553024292, 0.8602569570228924, 0.7542161044911442, 0.6766918254034472, 0.615866282556811, 0.5720099252343518, 0.5306966258080257, 0.4958266457940778, 0.46111291307329794, 0.43192375351560763, 0.4073053756330767, 0.3811527665948596, 0.36193505604552406, 0.3396405925777903, 0.3229406695505153, 0.3043310037280759, 0.2765588821508946, 0.263684869279549, 0.24958541734605774, 0.22969413414979592, 0.21806504067956892, 0.20513413498374472, 0.18704458735777102, 0.18031186409867728, 0.1627759293910445, 0.1524114414964646, 0.13526999374103343, 0.12882670995771375, 0.11901122829385972, 0.10928507139667487, 0.10313498387988816, 0.09314045876243346]","[1.1281563316345216, 0.9881661779403687, 0.8600285297393799, 0.8265723114967346, 0.7171837218284607, 0.6488128242492676, 0.5915166771888732, 0.5617291389465332, 0.55801745262146, 0.5943717422962189, 0.5215482759952546, 0.5212252814292908, 0.4768155817985535, 0.4598065896987915, 0.5158122426509857, 0.46046730189323426, 0.4835635694026947, 0.44056897716522214, 0.44453685126304626, 0.45608512291908265, 0.469713969707489, 0.46055060653686525, 0.40368399052619935, 0.4603860641002655, 0.42219491281509397, 0.48556730031967166, 0.40693575592041015, 0.43830126892328264, 0.4867837197303772, 0.47563305184841154, 0.46299093555212023, 0.4944797698497772, 0.4615146300315857]","[0.5913999676704407, 0.652999997138977, 0.696399986743927, 0.7103999853134155, 0.7475999593734741, 0.7767999768257141, 0.7965999841690063, 0.8041999936103821, 0.8104000091552734, 0.8055999875068665, 0.8172000050544739, 0.8259999752044678, 0.8393999934196472, 0.8471999764442444, 0.8265999555587769, 0.847000002861023, 0.8395999670028687, 0.8571999669075012, 0.8525999784469604, 0.8561999797821045, 0.8481999635696411, 0.8613999485969543, 0.8765999674797058, 0.85999995470047, 0.871399998664856, 0.8631999492645264, 0.8799999952316284, 0.8783999681472778, 0.871999979019165, 0.8739999532699585, 0.8787999749183655, 0.8739999532699585, 0.8831999897956848]"
